Date,Open,High,Low,Close,Volume
29-06-2000,2734.15,2798,2723.35,2735.95,23764987
30-06-2000,2732.2,2732.2,2654.6,2672.45,22517711
03-07-2000,2687.3,2764.8,2687.3,2745.15,15708548
04-07-2000,2746.3,2784.2,2744.3,2754.95,18221952
05-07-2000,2760.9,2801.9,2736.65,2758.95,19699908
06-07-2000,2753.75,2753.75,2709.1,2746,15113329
07-07-2000,2746.4,2757.7,2709.4,2711.75,13254872
10-07-2000,2714.8,2740.2,2678.3,2688.3,13354523
11-07-2000,2689.75,2697.25,2652.5,2662.2,15650988
12-07-2000,2664.25,2766.95,2663.9,2754.4,21152443
13-07-2000,2762.65,2812.5,2690.25,2712.95,22485841
14-07-2000,2711.1,2734.45,2674.95,2688.9,18145019
17-07-2000,2689.6,2718.95,2681.05,2688.4,16176632
18-07-2000,2691.9,2695.1,2639.7,2659.35,17458771
19-07-2000,2656.15,2680,2615.25,2620.55,17753975
20-07-2000,2619.6,2625.3,2567.55,2600.85,18700884
21-07-2000,2602.75,2653.05,2580.8,2591.2,17269105
24-07-2000,2588.25,2588.25,2416.5,2439.7,17460185
25-07-2000,2439.95,2504.5,2348,2475.95,26498321
26-07-2000,2481.3,2528.2,2416.2,2426.55,22869225
27-07-2000,2425.4,2523.85,2403,2521.25,25961799
28-07-2000,2520.45,2570.65,2492.25,2503.3,28077413
31-07-2000,2493.2,2494.5,2451.2,2464.95,17792826
01-08-2000,2472.4,2497.25,2437.55,2450.9,19900036
02-08-2000,2451.05,2470.65,2424,2460.7,12982127
03-08-2000,2459.85,2481.6,2414,2421.1,12932839
04-08-2000,2425.95,2441.7,2332.65,2347.7,21392508
07-08-2000,2345.2,2350.4,2284.75,2316.2,16847161
08-08-2000,2316.6,2382.95,2316.6,2374.4,21596714
09-08-2000,2382.65,2464.75,2382.65,2448.6,26610285
10-08-2000,2456.3,2488.4,2414.4,2424.85,26547309
11-08-2000,2429,2437.85,2361.75,2375.05,22970918
14-08-2000,2377.2,2392.95,2338.55,2387,20903883
16-08-2000,2392.05,2513.7,2392.05,2503.45,25848419
17-08-2000,2508.1,2528.7,2465.8,2477.65,25687310
18-08-2000,2477.85,2510.05,2467,2503.75,25412641
21-08-2000,2504.4,2560.8,2504,2552.8,33145924
22-08-2000,2554.9,2586.85,2540.3,2575.15,31383497
23-08-2000,2575.6,2591.55,2532.75,2542.8,30254045
24-08-2000,2541.45,2583.95,2519,2574.75,32625326
25-08-2000,2579,2612.65,2563.7,2585,53640080
28-08-2000,2585.35,2599.5,2529,2537.35,37972088
29-08-2000,2534.7,2544.05,2510.7,2527.35,34364002
30-08-2000,2539.25,2573.85,2514.95,2530.1,43701089
31-08-2000,2528,2553.6,2517.2,2548.25,32124157
04-09-2000,2552.1,2625.35,2552.1,2612.15,33058389
05-09-2000,2613.3,2648.5,2610.8,2634.8,36786091
06-09-2000,2633.45,2703.95,2612.15,2686.9,32216147
07-09-2000,2685.9,2727.15,2672.15,2708.3,36896700
08-09-2000,2709.8,2779.95,2709.8,2771.55,42897404
11-09-2000,2772.05,2855.85,2772.05,2805.1,32993457
12-09-2000,2807.2,2831.55,2769.35,2801.85,31527314
13-09-2000,2804.8,2836.05,2737.2,2742.65,27071900
14-09-2000,2744.6,2789.25,2732.5,2749.35,24219011
15-09-2000,2748.55,2761.55,2631.7,2649.5,27746493
18-09-2000,2643.65,2643.65,2522.5,2545.25,26600546
19-09-2000,2544.9,2594.1,2406.6,2461.75,34637921
20-09-2000,2491.25,2560.2,2423.35,2544.15,28447277
21-09-2000,2543.7,2567.15,2519.2,2540.4,24950523
22-09-2000,2534.35,2534.35,2363.15,2372.75,31666961
25-09-2000,2391.3,2485.1,2391.3,2472.5,23256503
26-09-2000,2479.1,2479.75,2379.7,2390.45,30944520
27-09-2000,2389.5,2421.95,2346.55,2409.8,25590092
28-09-2000,2407.4,2431.95,2363.4,2391.55,26400126
29-09-2000,2392.8,2416.95,2362.15,2369.3,22349912
03-10-2000,2366,2366,2312.85,2338.05,23950432
04-10-2000,2338.1,2375.35,2316.6,2367.15,24623468
05-10-2000,2368.25,2393.9,2305.25,2314.7,24400527
06-10-2000,2309.8,2309.8,2252.65,2300.15,26606231
09-10-2000,2299.5,2304,2260.75,2272.05,16986696
10-10-2000,2272.45,2283.05,2210.8,2222.15,20981126
11-10-2000,2208.05,2208.05,2141.2,2147.6,22542869
12-10-2000,2141.45,2194.95,2113.7,2190.35,28169478
13-10-2000,2186.8,2186.8,2098.8,2109,29094909
16-10-2000,2119.85,2223.6,2119.85,2144.3,22811080
17-10-2000,2137.95,2142.3,2066.2,2108.6,26302252
18-10-2000,2103.9,2114,2055.5,2093.6,24890051
19-10-2000,2092.8,2192.05,2054.05,2175.9,38603650
20-10-2000,2176.95,2245.5,2176.95,2206.65,35116458
